,Abbotts babbler,Abbotts booby,Abyssinian ground hornbill,African emerald cuckoo,African firefinch,African oystercatcher,African pygmy goose,African pygmy kingfisher,Albatross,Alberts towhee,Alexandrine parakeet,Alpine chough,Altamira yellowthroat,American avocet,American bittern,American coot,American dipper,American flamingo,American goldfinch,American kestrel,American redstart,American robin,American wigeon,Amethyst woodstar,Andean goose,Andean lapwing,Andean siskin,Anhinga,Anianiau,Annas hummingbird,Antbird,Apapane,Apostlebird,Araripe manakin,Ashy storm petrel,Ashy thrush,Asian fairy-bluebird,Asian green bee-eater,Asian openbill,Atlantic canary,Auckland shag,Austral canastero,Australasian figbird,Australian brushturkey,Azaras spinetail,Azure jay,Azure tit,Azure-breasted pitta,Azure-shouldered tanager,Precision,Recall,f1-score
Amethyst woodstar,0,3,0,1,0,1,0,1,0,0,0,0,0,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0.0,0.0,0.0
Andean goose,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,2,0,1,1,0,0,0,1,0,2,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,3,1,0,0.0,0.0,0.0
Andean lapwing,3,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,2,2,0,1,2,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.1111111111111111,0.09473684210526316,0.10227272727272727
Andean siskin,0,0,0,0,2,0,1,1,0,0,0,0,1,0,1,1,1,0,0,1,0,2,0,0,0,1,1,3,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0.1,0.04739336492890995,0.06430868167202573
Anhinga,0,0,0,1,1,1,1,0,0,1,0,0,0,0,1,0,2,0,0,1,1,2,1,0,0,0,0,3,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.061224489795918366,0.14244186046511628,0.08563938246431693
Anianiau,0,0,1,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,1,0,0,0,0,2,0,0,1,1,1,0,0,2,1,1,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0.022727272727272728,0.04756756756756757,0.03075847605732262
Annas hummingbird,0,1,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,2,0,0,0,1,1,0,0,0,0,0,2,0,1,1,0,0,0,1,2,0.06666666666666667,0.0949367088607595,0.0783289817232376
Antbird,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2,0,0,1,0,0,1,0,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,2,1,0.0,0.0,0.0
Apapane,0,0,2,1,2,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,2,1,1,0,1,1,2,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0.0,0.0,0.0
Apostlebird,1,0,0,0,0,2,1,0,0,4,0,0,1,0,0,0,0,1,0,1,1,2,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0.0,0.0,0.0
Araripe manakin,0,0,0,2,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,1,1,0,1,3,0,0,0,0,0,1,0,0,0,2,1,0,0,0,1,0.14285714285714285,0.14189189189189189,0.1423728813559322
Ashy storm petrel,0,0,2,1,2,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,1,1,0.0,0.0,0.0
Ashy thrush,2,2,0,0,0,0,0,1,0,1,1,0,0,1,0,2,0,1,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,1,1,1,0.0,0.0,0.0
